Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,2.278,98.6,0.057524160147261846
0.2,0.4,3.908,98.5,0.062418076274889205
0.2,0.6,5.273,99.1,0.06609385327164573
0.2,0.8,6.58,99.3,0.07216569242981886
0.2,1.0,7.605,99.4,0.07736943907156672
0.4,0.2,-4.941,98.2,0.04133768756975735
0.4,0.4,0.455,98.6,0.052042674993494666
0.4,0.6,4.322,99.5,0.062418076274889205
0.4,0.8,7.198,99.9,0.07462129691814044
0.4,1.0,9.457,100.0,0.08809796493700994
0.6,0.2,-21.113,95.5,0.026581605528973953
0.6,0.4,-5.104,98.5,0.0412660421738951
0.6,0.6,3.256,99.8,0.05922065616487031
0.6,0.8,8.051,100.0,0.07951021706289259
0.6,1.0,10.653,100.0,0.09793360101850945
0.8,0.2,-70.023,54.50000000000001,0.014009526478005045
0.8,0.4,-14.075,98.6,0.031020256227316436
0.8,0.6,1.372,100.0,0.05374032674118658
0.8,0.8,8.144,100.0,0.08002560819462227
0.8,1.0,11.452,100.0,0.10566356720202874
1.0,0.2,-123.428,7.3999999999999995,0.010499569517649776
1.0,0.4,-36.236,87.9,0.020030847505157944
1.0,0.6,-1.239,100.0,0.04769399532598846
1.0,0.8,8.057,100.0,0.07917029530520149
1.0,1.0,12.005,100.0,0.11117287381878822
